SK_ID_CURR,TARGET
100001,0.09
100005,0.12
100013,0.03
100028,0.11
100038,0.16
100042,0.1
100057,0.02
100065,0.06
100066,0.08
100067,0.19
100074,0.11
100090,0.1
100091,0.17
100092,0.16
100106,0.1
100107,0.21
100109,0.05
100117,0.18
100128,0.09
100141,0.1
100150,0.02
100168,0.04
100169,0.05
100170,0.06
100171,0.04
100172,0.23
100184,0.06
100187,0.05
100212,0.15
100222,0.1
100223,0.13
100232,0.03
100241,0.2
100245,0.06
100253,0.08
100256,0.18
100271,0.06
100278,0.33
100280,0.12
100306,0.17
100311,0.08
100312,0.13
100330,0.23
100331,0.09
100352,0.17
100358,0.13
100367,0.06
100382,0.2
100384,0.17
100385,0.13
100386,0.14
100399,0.09
100404,0.19
100416,0.03
100422,0.16
100426,0.05
100438,0.07
100444,0.23
100445,0.13
100446,0.2
100447,0.06
100450,0.12
100466,0.06
100483,0.0
100484,0.08
100494,0.11
100510,0.19
100512,0.12
100517,0.06
100548,0.06
100551,0.08
100552,0.11
100553,0.09
100561,0.14
100568,0.35
100569,0.04
100591,0.14
100592,0.02
100602,0.14
100607,0.04
100613,0.09
100617,0.1
100618,0.18
100622,0.25
100625,0.18
100677,0.21
100699,0.04
100702,0.31
100711,0.04
100729,0.16
100740,0.14
100744,0.22
100745,0.11
100747,0.19
100751,0.37
100752,0.1
100753,0.31
100754,0.14
100760,0.09
100762,0.08
100763,0.2
100765,0.05
100770,0.07
100772,0.04
100777,0.0
100791,0.06
100792,0.02
100797,0.04
100823,0.14
100826,0.09
100830,0.03
100836,0.3
100872,0.11
100910,0.05
100913,0.15
100918,0.16
100931,0.01
100952,0.13
100953,0.16
100965,0.23
100970,0.05
100982,0.14
100983,0.22
100984,0.08
100987,0.11
100997,0.08
100998,0.23
101002,0.17
101005,0.25
101008,0.25
101020,0.05
101021,0.09
101024,0.15
101025,0.16
101026,0.08
101031,0.06
101041,0.01
101051,0.06
101055,0.13
101056,0.31
101057,0.04
101064,0.1
101079,0.16
101087,0.05
101090,0.06
101092,0.15
101097,0.11
101099,0.08
101107,0.16
101118,0.07
101125,0.1
101126,0.02
101128,0.09
101136,0.23
101140,0.15
101149,0.07
101160,0.08
101169,0.23
101181,0.09
101186,0.03
101190,0.13
101193,0.15
101194,0.15
101198,0.14
101200,0.04
101204,0.05
101211,0.06
101213,0.09
101223,0.08
101225,0.13
101237,0.14
101243,0.07
101244,0.1
101258,0.08
101259,0.24
101268,0.12
101269,0.06
101271,0.12
101279,0.02
101281,0.17
101287,0.04
101292,0.04
101294,0.08
101296,0.1
101297,0.08
101299,0.11
101301,0.09
101305,0.1
101308,0.19
101318,0.1
101327,0.27
101329,0.03
101332,0.09
101337,0.09
101343,0.04
101345,0.06
101346,0.02
101353,0.04
101354,0.17
101355,0.22
101356,0.07
101362,0.13
